,0
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL210.csv,"[2.3085837735232215, 2.3635036017330115, 1.4442068928741045, 1.2448097230711375, 1.224043912851373, 1.1309098926746288]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL231.csv,"[1.6785050203560576, 1.5954853115178764, 1.226047514351578, 1.10962489557167, 0.9076742554128904, 0.7342712008149416]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1889.csv,"[1.5956698271496774, 1.4699306574687974, 1.5247078969320231, 1.0850538870961268, 0.7291644820271939, 0.5887587106810583]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1907609.csv,"[1.818130554712448, 1.4391354600595536, 1.0782506584628808, 1.0023277877051588, 0.8480510203161605, 0.6749876341831387]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3650.csv,"[1.5073489260816402, 0.9344271711517365, 0.9068313714499039, 0.9565474865847273, 0.8169107649017896, 0.6758621090940445]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL338.csv,"[2.2743156590916302, 1.1821561469039354, 0.9866022331612423, 0.9056017089513657, 0.8506384412636545, 0.8074371572146345]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1795098.csv,"[0.18541671698967932, 0.09323184498832841, 0.08919821017240281, 0.08067826875070663, 0.07771256278337726, 0.06876099163233795]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4898.csv,"[0.6161146839760187, 0.3778519309725087, 0.3563578512688443, 0.34520702458440267, 0.2660906352170281, 0.24625996681134557]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1801.csv,"[1.2659707517278027, 1.2968702972492945, 1.0614944042230552, 0.5623916676571343, 0.40097428964457216, 0.30100057353360277]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL208.csv,"[3.6906400745449384, 1.907083053013531, 1.3395585521122397, 1.081553537957118, 0.9550976061392094, 0.8964014276032884]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3145.csv,"[1.484809364439325, 1.735714185278854, 1.7278765778157987, 1.6251508419994847, 1.1881121952032168, 0.9251602734202764]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2996.csv,"[1.4357059971625656, 1.0816877735943649, 0.7176016900744477, 0.6457324225561074, 0.620763467781905, 0.6205135814688587]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4361.csv,"[0.6205693799439663, 0.4073161511813034, 0.4044741338127252, 0.3664864981580909, 0.3567562499487714, 0.34539586488240215]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2842.csv,"[3.630956259387913, 1.3773220111503583, 1.4302467251780029, 1.104332842977857, 1.039550226459791, 0.803733265866909]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL232.csv,"[1.55420936413567, 1.1682946754410728, 0.860711521644753, 0.767837463001035, 0.7067916954398945, 0.6816024819957529]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1957.csv,"[1.1237540216354696, 0.7840800682296615, 0.7637820436069326, 0.6687287756343302, 0.5851012027633747, 0.5511910613097419]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL1936.csv,"[1.6270509125236832, 1.0268544791388767, 0.9844117767730124, 0.7736527014923504, 0.8009570582164522, 0.7777276270157908]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3778.csv,"[0.647865704753159, 0.5669676101175146, 0.5055666157268442, 0.504920574608948, 0.5028286995740261, 0.4577647852319633]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL260.csv,"[1.7247809480564855, 1.9511283480259745, 1.5758523239752205, 1.4950029646772036, 1.3989051231420697, 1.412189845144961]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL209.csv,"[1.2086280584061424, 1.0753881466878543, 0.9539684483056882, 0.7833386267566086, 0.6959637271704897, 0.8406218052872775]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2599.csv,"[1.3144398155515806, 0.6767067729613393, 0.5748098160525479, 0.5418532121861803, 0.49860776556179576, 0.49215710716313144]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3267.csv,"[1.8952124199850997, 1.476466559277864, 1.5063762254723407, 1.4428908061821617, 1.0299968591543407, 0.8463309023740344]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL2954.csv,"[1.433488241553064, 1.5460136620682134, 1.480236184955062, 1.3792264999912989, 1.1426350757952464, 1.124929729496492]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL3199.csv,"[2.292222108068239, 1.3551417886920272, 1.6583028279870031, 0.9244746456322143, 0.6148057293281775, 0.47496721403438363]"
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_data/CHEMBL4566.csv,"[2.016650245859523, 1.3218557308975505, 1.1125295984367565, 0.776264423633546, 0.668052499590971, 0.5682007878718501]"
