,0,1,2,3,4,5
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL3571.csv,5.1897123071736235,0.7419913394538372,0.46011583506307874,0.4221725737753976,0.2641425826582552,0.21072287145498467
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1827.csv,1.999479175354375,0.870152225217618,0.3776720854453486,0.27068807945322226,0.20942903374669658,0.18399784806483377
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1907609.csv,1.1230558708360896,0.2261441352066176,0.16632181145368558,0.1551102151019332,0.1371365367505696,0.09975348812667825
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4630.csv,0.5065987407180615,0.2504142669300678,0.13498501680819133,0.10360305226408859,0.09462747795267296,0.09086638761231994
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL251.csv,1.2465571100234882,0.7814957208253078,0.5493438335686681,0.47839649850911925,0.37729426665948573,0.3369271895193122
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL206.csv,0.9799427688400623,0.15648949760214478,0.140060335198092,0.11434169736030404,0.10261896205837409,0.08478004633028799
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4722.csv,2.21994742408583,0.9232967638120552,0.597479994703676,0.45305320528419135,0.3652554110552848,0.3181937791201571
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL2637.csv,0.8047229823710061,0.20438157660798867,0.16666771260171723,0.12581752340602953,0.08355465858083495,0.063036789721005
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL299.csv,0.7629022689310855,0.19032030150248777,0.10643021093512775,0.08930022499090443,0.07670595606446796,0.05965535097204065
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1871.csv,2.3167526129893248,0.6397579637391243,0.3451230095633173,0.257260530470202,0.2253992706387217,0.19102189000762196
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1907596.csv,2.3239955420866867,0.23610471639135772,0.13124935205677613,0.12414063733637659,0.10944632684661103,0.08127397434733359
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL253.csv,0.3476803219104375,0.3535642082516848,0.2687231919018511,0.23450758308843878,0.19928052248058617,0.1934326828777567
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL2276.csv,0.7904851932530111,0.21094464687010747,0.12669185611971523,0.10857216888689673,0.09822725913757399,0.07697308305149463
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL2527.csv,0.879279400512676,0.4596869257161623,0.36557049207225034,0.27539625467856726,0.21347495543988398,0.15253732008840984
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL3473.csv,1.309711429109314,0.3942921444260637,0.28144826379988513,0.25655316908247866,0.20806510165880815,0.152467830002466
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL2093869.csv,0.3525510618493201,0.20906001631777046,0.13637801382374873,0.10180089725748998,0.07489292077275221,0.06326284462231807
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1841.csv,3.7874665829569567,1.0114272962432203,0.6110709759556073,0.5803352856517634,0.4971075421025166,0.3918223489320643
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4333.csv,0.931067782969185,0.21111664105865843,0.19296487883945787,0.12496709262715615,0.1071676366941213,0.08548776003515457
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL325.csv,0.9971899353462915,1.0886621412628832,1.083147170554089,0.8584681258107206,0.5361145750203954,0.41164482766769617
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4354.csv,1.3864553851255297,0.35809994807278406,0.24605495966342558,0.1838057361930261,0.15420079647235013,0.12188027038834791
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4005.csv,0.6959245455214078,0.24138744260374798,0.1489577287977756,0.108215894379932,0.10010382376848294,0.08550755731912656
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL3717.csv,0.3990885084322305,0.3849732767092926,0.2491909412980713,0.21164160543565852,0.14825076588095976,0.12362789081015216
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL220.csv,0.8430760511440539,0.24486458826596297,0.22658415182970348,0.182482919616995,0.15546094368537144,0.14926571668672692
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1974.csv,3.6120607724332237,0.7774301339515562,0.582139275965497,0.5045507244743697,0.43775691404081873,0.36476297996650126
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL252.csv,2.8186237423485627,0.9052949622081646,0.4486470934417955,0.2942230306982945,0.2490620962463223,0.20524176472839065
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1907599.csv,2.059080250776808,0.42705996821401215,0.27509263279375684,0.18702626668024738,0.14708845834478673,0.1309368361658907
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4124.csv,0.7222956268903608,0.6753540381297449,0.5071582201499633,0.3705006954577928,0.3029513900989556,0.2425222578837547
