,x,y
58,1.6541353383458646,4.148296593186372
40,0.4887218045112781,3.3967935871743484
34,3.471177944862155,3.1462925851703405
102,3.659147869674185,2.2645290581162323
184,3.082706766917293,4.979959919839679
11,0.012531328320802,0.2104208416833667
131,4.987468671679197,0.0601202404809619
179,1.8546365914786969,0.0
176,4.824561403508771,4.599198396793587
148,0.112781954887218,4.889779559118236
0,3.609022556390977,0.0701402805611222
51,0.012531328320802,1.653306613226453
135,4.987468671679197,3.0861723446893787
36,4.849624060150376,1.3627254509018036
23,0.7518796992481203,0.0100200400801603
93,1.4160401002506264,4.869739478957916
142,4.223057644110275,4.929859719438878
83,1.4661654135338344,1.6833667334669338
75,0.137844611528822,2.625250501002004
181,4.285714285714286,0.1402805611222445
19,0.12531328320802,4.288577154308617
80,4.912280701754385,2.1843687374749496
133,2.744360902255639,1.2324649298597194
185,2.4310776942355887,4.969939879759519
120,0.112781954887218,0.8316633266533066
105,4.87468671679198,3.657314629258517
113,4.987468671679197,0.751503006012024
155,2.0426065162907268,2.985971943887776
73,3.082706766917293,0.3206412825651302
182,3.596491228070175,4.268537074148297
96,1.1403508771929824,0.6613226452905812
144,0.7268170426065163,4.589178356713426
90,0.8270676691729323,2.374749498997996
154,4.0852130325814535,1.2625250501002003
41,0.12531328320802,3.697394789579158
27,1.3659147869674184,0.0601202404809619
9,2.581453634085213,3.8276553106212425
103,4.235588972431078,3.3967935871743484
33,0.5764411027568922,1.3827655310621243
66,2.556390977443609,2.214428857715431
91,4.786967418546365,0.3206412825651302
118,1.8922305764411027,4.69939879759519
178,2.080200501253133,0.2705410821643286
132,4.448621553884712,2.444889779559118
138,0.075187969924812,2.995991983967936
195,4.047619047619048,4.779559118236473
68,0.2756892230576441,0.4909819639278557
100,3.9724310776942353,0.0100200400801603
198,0.112781954887218,4.599198396793587
157,2.0300751879699246,1.0721442885771542
129,3.1203007518796992,4.288577154308617
20,4.887218045112782,1.6432865731462925
183,1.1779448621553883,3.847695390781563
156,3.258145363408521,1.56312625250501
145,1.2406015037593985,2.6452905811623246
162,2.744360902255639,4.929859719438878
