,0,1,2,3,4,5,6,7,8
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1913.csv,1.0,0.4796313961503569,0.2005029347173586,0.12381241941381986,0.08425014930151797,0.04784308081119521,0.029300302647674806,0.023310411910038856,0.01633076591076434
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL6166.csv,1.0,0.3386671858623437,0.25535941611914126,0.2170743612670787,0.1745597031870463,0.1407585231886237,0.07707176301429053,0.05821416459959699,0.023754903322888554
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL3650.csv,1.0,0.1555063233661803,0.12267157618161054,0.09642089528307678,0.08257399893674881,0.06608202034827165,0.05279915598779663,0.04471374252019633,0.03835031771941147
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4282.csv,0.9999999999999998,0.2468920327515432,0.17891118693728789,0.14477948276934627,0.12262518776658293,0.09235017301543443,0.08043868760203304,0.06395138745151381,0.05915994197564803
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL301.csv,1.0,0.15148750991168225,0.1354534510152178,0.118613265435641,0.0993042568321951,0.081338173191663,0.08217413850164362,0.07567628315389956,0.06375688686019461
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1827.csv,1.0,0.6163218530095951,0.29858278436812746,0.224542636682871,0.1600954994562257,0.13560867370187724,0.11099452050644837,0.0786928077597206,0.04940062818600226
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4296.csv,1.0,0.31624405020353064,0.271817407982907,0.20943462256121448,0.17895309872194007,0.12222327598193172,0.09662497801468117,0.0786987298980314,0.06840450437851162
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL2581.csv,1.0,0.2283861573817263,0.17909727156487024,0.13173810342219622,0.07422014989272335,0.04717333971698468,0.02530545258416987,0.022058901895957744,0.014855274166148956
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL3952.csv,1.0,0.3031552107808111,0.2112637438326053,0.15209147009898727,0.12275526020910021,0.0947296727179025,0.07666702748390007,0.05496934130438434,0.044699777198371364
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL3231.csv,1.0,0.5279368488436739,0.2888207398960905,0.2450686975908439,0.17024791624221586,0.1507796616134104,0.12372894425588299,0.08600551858671848,0.06581416128456559
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL223.csv,1.0,0.08415407383496964,0.045497805860109965,0.02650937767272645,0.012911062178185639,0.012437220441827664,0.009340234389973737,0.00308711308839479,0.01149533839804942
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4005.csv,1.0000000000000002,0.23147066820542045,0.14506445364249573,0.11094576703782102,0.09325148010482322,0.06416482609095643,0.05110824810080435,0.04163882476422112,0.03938921666792002
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4015.csv,1.0,0.3052021778610127,0.2266086720407476,0.16077497951358724,0.13141982229479596,0.1089127490727968,0.10409088904686735,0.0882768208331853,0.0657006505985512
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1795098.csv,1.0000000000000002,0.14850650537333945,0.11572275354572213,0.09206502819880191,0.07839108760148425,0.058056100002683256,0.04923436039415206,0.029800772649502878,0.019788868773472187
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL2039.csv,1.0,0.23641765686423466,0.15622530921981342,0.15710667177911236,0.09143268717784164,0.05082675857891762,0.041555505693343195,0.035304763439352585,0.013498390232914142
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1824.csv,1.0,0.181400759978426,0.113953034546664,0.08056041398319917,0.06864389897786628,0.06127394539484003,0.052781932967569875,0.04651310434170108,0.03658191561440305
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL1785.csv,0.9999999999999999,0.212632349426256,0.08187290520111318,0.041235266152225496,0.024366380757607747,0.021872099056371098,0.01390800072732877,0.009104872833227704,0.005254565723664587
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL249.csv,0.9999999999999998,1.1344322539062217,0.5311840599457817,0.3974786114831776,0.34558289308591383,0.31863975632653446,0.28347314020916253,0.2494209022942324,0.21738486318132227
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL214.csv,1.0,0.3773742394182848,0.31053097010122555,0.25893429527267803,0.22683300861638733,0.2100553578141583,0.19258739582320586,0.17763913674067897,0.1634270535266489
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL289.csv,1.0,0.17624442111380578,0.13239208711305198,0.12402243920972465,0.10060534063901563,0.09587294475689737,0.08427086384118675,0.0836650483531391,0.07115137417627411
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL4101.csv,1.0,0.24050292373248874,0.14227591692634664,0.11210574214352159,0.09121285342257911,0.06795666057521449,0.05070424273092384,0.029264225378024745,0.01779870767097771
/home/rjb255/University/ChemEng/ResearchProject/data/big/qsar_with_lims/CHEMBL234.csv,1.0000000000000002,0.37202003954454804,0.2794399862690586,0.22093031898010948,0.19527554489782753,0.17224596391438668,0.15026604859885695,0.13997771205372683,0.12464794511714157
